chr	pos	cd55off_mu	wt_mu	score	effect_size
chr1	207321388	0.496021126802977	0.026057357148141	141.44841624314103	0.469963769654836
chr1	207321423	0.502966930898474	0.0256645628556314	134.50716133649297	0.477302368042843
chr1	207321383	0.496021126802977	0.026057357148141	121.2331014501059	0.469963769654836
chr1	207321371	0.501558284304084	0.0261818188036926	117.61193113646183	0.475376465500391
chr1	207321360	0.508988763709896	0.0264684010057497	102.22790721056037	0.482520362704146
chr1	207321474	0.519982780298771	0.0251379445007148	95.92176986977785	0.494844835798056
chr1	207321733	0.437950678142815	0.0455203774047124	83.74860647195938	0.392430300738102
chr1	207321312	0.504322824130346	0.0267728840168373	81.89645313789293	0.477549940113508
chr1	207321702	0.4554316437814	0.042835626130505	81.10833641953191	0.412596017650895
chr1	207321722	0.4554316437814	0.042835626130505	79.24480974289382	0.412596017650895
chr1	207321717	0.4554316437814	0.042835626130505	78.98994961264741	0.412596017650895
chr1	207321534	0.483015266289128	0.0273872061861778	78.42293568802755	0.45562806010295
chr1	207321332	0.504322824130346	0.0267728840168373	77.32216498897331	0.477549940113508
chr1	207321698	0.450515227362645	0.0410782896746925	74.58268287050376	0.409436937687953
chr1	207321527	0.495771306460385	0.0272481104082209	73.43544563366625	0.468523196052164
chr1	207321507	0.501788621538072	0.0256211635997542	73.33598436703649	0.476167457938318
chr1	207321158	0.454065662876425	0.0384409236090378	73.00650505391111	0.415624739267388
chr1	207321304	0.504322824130346	0.0267728840168373	72.29472661966176	0.477549940113508
chr1	207321127	0.418287368565087	0.0392028922031753	70.66841027443122	0.379084476361912
chr1	228609603	0.794646795265464	0.203246643810421	70.54255385329962	0.591400151455043
chr1	207321296	0.500007736821535	0.0255577012549116	70.41536813457765	0.474450035566624
chr1	207321522	0.502584353168975	0.0272484834686141	69.94912993064736	0.475335869700361
chr1	207321693	0.447914424215227	0.040606993774872	69.8389074578294	0.407307430440355
chr1	207321285	0.495942397086506	0.024037409913479	68.67586754872154	0.471904987173026
chr1	207321316	0.504322824130346	0.0267728840168373	68.11785265064158	0.477549940113508
chr1	228609612	0.781890018702865	0.199827668397947	67.63977267717324	0.582062350304918
chr1	228609606	0.781890018702865	0.199827668397947	67.63977267717324	0.582062350304918
chr1	228609641	0.781890018702865	0.199827668397947	67.63977267717324	0.582062350304918
chr1	228609633	0.781890018702865	0.199827668397947	67.63977267717324	0.582062350304918
chr1	228609616	0.781890018702865	0.199827668397947	67.63977267717324	0.582062350304918
chr1	228609609	0.781890018702865	0.199827668397947	67.63977267717324	0.582062350304918
chr1	207321537	0.486102334719675	0.0275087178341685	64.97789996327518	0.458593616885506
chr1	207321283	0.489531503963823	0.0223025642149598	64.25119797806344	0.467228939748863
chr1	207321201	0.458035594363233	0.028723624780734	62.895732507418515	0.4293119695825
chr1	228609646	0.775317103447386	0.196167486040022	62.63444581207712	0.579149617407364
chr1	207321199	0.458035594363233	0.028723624780734	62.22073795143226	0.4293119695825
chr1	207321736	0.437950678142815	0.0455203774047124	61.303292750711876	0.392430300738102
chr1	207321213	0.458035594363233	0.028723624780734	59.56499003874552	0.4293119695825
chr1	207321241	0.466358715573056	0.0302953447213448	58.46814712070534	0.436063370851711
chr1	207321251	0.466279763719045	0.026378613089203	57.9866603241208	0.439901150629842
chr1	207321215	0.458035594363233	0.028723624780734	57.11210496376344	0.4293119695825
chr1	207321551	0.467346713793699	0.0285729350627895	56.332686956691354	0.43877377873091
chr1	228609741	0.775317103447386	0.196167486040022	55.61071011998441	0.579149617407364
chr1	207321223	0.458035594363233	0.028723624780734	55.140874424195744	0.4293119695825
chr1	207321725	0.445649768086829	0.0449157747176983	53.88134171969748	0.40073399336913
chr1	207321662	0.440896186346834	0.0337424045231487	53.80251624579965	0.407153781823686
chr3	91175272	0.956142162906278	0.120902866568706	53.277781941372304	0.835239296337572
chr1	228609730	0.775317103447386	0.196167486040022	53.036707146531654	0.579149617407364
chr1	228609703	0.775317103447386	0.196167486040022	53.036707146531654	0.579149617407364
chr1	228609690	0.775317103447386	0.196167486040022	53.036707146531654	0.579149617407364
chr11	119094792	0.158516175743244	0.0249207324606664	52.78779201960957	0.133595443282577
chr1	207321810	0.428421036848688	0.0947686639223432	51.97044142674136	0.333652372926345
chr3	91175281	0.956142162906278	0.120902866568706	51.529078990534366	0.835239296337572
chr1	228609896	0.744107230329405	0.203064603730307	51.133341730938376	0.541042626599099
chr2	121649517	0.136049059040462	0.023864460956404	50.65580218218883	0.112184598084058
chr1	228609854	0.771497998555295	0.196931040162912	50.52139962404876	0.574566958392383
chr1	228609652	0.775317103447386	0.196167486040022	50.24573236844109	0.579149617407364
chr1	207321854	0.441943639991711	0.124412079636401	49.73750203204501	0.317531560355311
chr1	207321792	0.430820811445132	0.0837600831027622	49.06025196885121	0.34706072834237
chr1	207321771	0.453055904286781	0.079257079382999	48.98751347685546	0.373798824903782
chr12	36181248	0.925405883374598	0.0364100293137495	48.10545376338591	0.888995854060849
chr1	207321739	0.437950678142815	0.0455203774047124	48.07364595428371	0.392430300738102
chr1	207321709	0.4554316437814	0.042835626130505	46.43955576487523	0.412596017650895
chr1	207321585	0.461341243558269	0.0316761486681535	46.193968837996145	0.429665094890116
chr1	228609663	0.775317103447386	0.196167486040022	45.83341701516806	0.579149617407364
chr3	93375515	0.978853532109958	0.0844429099556087	45.73467882705717	0.894410622154349
chr3	93375500	0.978853532109958	0.0844429099556087	45.73467882705717	0.894410622154349
chr1	207321760	0.440499178350476	0.0595323491610621	45.692441041992424	0.380966829189414
chr1	207321774	0.4475027126875	0.0805286277540859	45.55536920899457	0.366974084933415
chr1	207321776	0.4475027126875	0.0805286277540859	45.34001447743164	0.366974084933415
chr1	207321757	0.440417542697563	0.058593762176141	45.200731852197706	0.381823780521422
chr1	207321741	0.438908468676208	0.0509245907524776	44.943907651183075	0.38798387792373
chr1	228609684	0.775317103447386	0.196167486040022	43.781759841837754	0.579149617407364
chr1	207321782	0.441408868545494	0.0819471354095125	43.63875982628422	0.359461733135982
chr1	207321762	0.440499178350476	0.0595323491610621	43.57875666620426	0.380966829189414
chr11	119094805	0.158766455700655	0.0250926680949006	43.120232790796045	0.133673787605754
chr1	207321786	0.436060358411259	0.0827935580157491	43.01101973591706	0.35326680039551
chr1	228609669	0.775317103447386	0.196167486040022	42.523178157525834	0.579149617407364
chr11	119094798	0.160140091247192	0.0250427063438567	42.415674419200855	0.135097384903336
chr1	207321633	0.445922792706555	0.0327893519298465	42.411101333001426	0.413133440776708
chr1	228609838	0.775317103447386	0.196167486040022	42.245251281515344	0.579149617407364
chr11	119094784	0.158516175743244	0.0249207324606664	42.21642772377478	0.133595443282577
chr11	119094802	0.156993650231696	0.0249810946025277	42.20630196650922	0.132012555629168
other	142748	0.932631905687719	0.043295741403208	42.10606177844035	0.889336164284511
other	142739	0.932631905687719	0.043295741403208	42.10606177844035	0.889336164284511
chr1	228609788	0.775317103447386	0.196167486040022	42.042888292080875	0.579149617407364
